id_personaggio,giorno,punti,descrizione,tipo
EDU001,1,+3,Ha tenuto un discorso motivazionale che ha emozionato tutti,bonus
EDU001,1,+3,Bagnare i bambini in modo creativo,bonus
EDU001,1,-1,Chiede di farsi aggiungere punti,malus
ANI011,1,+3,100 Metri Dietro ai Bambini,bonus
ANI015,1,+3,100 Metri Dietro ai Bambini,bonus
ANI009,1,+3,Aggiustatutto,bonus
EDU007,1,+2,Ha intrattenuto i bambini più piccoli,bonus
EDU010,1,+1,Per aver caricato i voti entro la sera,bonus
EDU006,1,+3,Lavorare dopo l'orario di oratorio,bonus
EDU008,1,+3,Lavorare dopo l'orario di oratorio,bonus
ANI010,1,+3,Giocare fino alle 18,bonus
ANI013,1,+3,Giocare fino alle 18,bonus
ANI005,1,+3,Giocare fino alle 18,bonus
ANI004,1,+3,Giocare fino alle 18,bonus
EDU001,1,+3,Lavorare dopo l'orario di oratorio,bonus
EDU002,1,+3,Lavorare dopo l'orario di oratorio,bonus
ANI009,1,+3,Lavorare dopo l'orario di oratorio,bonus
EDU007,1,+3,Lavorare dopo l'orario di oratorio,bonus
ANI010,1,+2,Non farsi bagnare nei giochi d'acqua,bonus
EDU001,1,+2,Idea geniale,bonus
ANI004,2,-2,Parolaccia,malus
EDU009,2,+2,Prova del gioco,bonus
PRE001,2,+2,Prova del gioco,bonus
ANI009,2,+2,Prova del gioco,bonus
EDU004,2,+3,Soluzione gioco,bonus
PRE005,2,+2,Sollevamento bambini per più di 5 minuti,bonus
EDU005,2,+3,Soluzione gioco,bonus
ANI003,2,+3,100 Metri Dietro ai Bambini,bonus
AMC004,2,+2,Speaker per un giorno,bonus
ANI010,2,+2,Carichi pesanti,bonus
ANI009,2,+2,Carichi pesanti,bonus
EDU001,2,+2,Aiutare bimbo in difficoltà,bonus
EDU007,2,+3,Terra mare,bonus
AMC001,2,+2,Scatenarsi come non mai nel ballo,bonus
ANI015,2,+2,Animazione,bonus
PRE007,2,+2,Animazione,bonus
ANI006,2,+2,Animazione,bonus
ANI012,2,+2,Animazione,bonus
PRE003,2,+2,Animazione,bonus
ANI001,2,+2,Animazione,bonus
AMC002,2,+2,Animazione,bonus
EDU004,2,+2,Animazione,bonus
PRE006,2,+2,Animazione,bonus
ANI002,2,+2,Animazione,bonus
ANI008,2,+2,Animazione,bonus
PRE002,2,+2,Animazione,bonus
AMC006,2,+2,Giocare con i più piccoli,bonus
AMC007,2,+2,Giocare con i più piccoli,bonus
